Symbol,Name,결산월,회계년,주기,asset,conm,regist_num,year
A170920,엘티씨,12,2017,Annual,143947466 ,엘티씨(주),138-81-43899,2017
A170920,엘티씨,12,2018,Annual,166985304 ,엘티씨(주),138-81-43899,2018
A170920,엘티씨,12,2019,Annual,172657780 ,엘티씨(주),138-81-43899,2019
A170920,엘티씨,12,2020,Annual,,엘티씨(주),138-81-43899,2020
A170920,엘티씨,12,2021,Annual,,엘티씨(주),138-81-43899,2021
A127120,디엔에이링크,12,2017,Annual,25067374 ,(주)디엔에이링크,104-81-51912,2017
A127120,디엔에이링크,12,2018,Annual,35066550 ,(주)디엔에이링크,104-81-51912,2018
A127120,디엔에이링크,12,2019,Annual,25900053 ,(주)디엔에이링크,104-81-51912,2019
A127120,디엔에이링크,12,2020,Annual,,(주)디엔에이링크,104-81-51912,2020
A127120,디엔에이링크,12,2021,Annual,,(주)디엔에이링크,104-81-51912,2021
A307930,컴퍼니케이,12,2017,Annual,31533768 ,컴퍼니케이파트너스(주),211-87-88121,2017
A307930,컴퍼니케이,12,2018,Annual,28803382 ,컴퍼니케이파트너스(주),211-87-88121,2018
A307930,컴퍼니케이,12,2019,Annual,57301966 ,컴퍼니케이파트너스(주),211-87-88121,2019
A307930,컴퍼니케이,12,2020,Annual,,컴퍼니케이파트너스(주),211-87-88121,2020
A307930,컴퍼니케이,12,2021,Annual,,컴퍼니케이파트너스(주),211-87-88121,2021
A092440,기신정기,3,2017,Annual,240439615 ,기신정기(주),139-81-16717,2017
A092440,기신정기,3,2018,Annual,245756157 ,기신정기(주),139-81-16717,2018
A092440,기신정기,3,2019,Annual,251675970 ,기신정기(주),139-81-16717,2019
A092440,기신정기,3,2020,Annual,,기신정기(주),139-81-16717,2020
A092440,기신정기,3,2021,Annual,,기신정기(주),139-81-16717,2021
A263800,데이타솔루션,12,2017,Annual,62046031 ,(주)데이타솔루션,119-86-37009,2017
A263800,데이타솔루션,12,2018,Annual,52873082 ,(주)데이타솔루션,119-86-37009,2018
A263800,데이타솔루션,12,2019,Annual,62996007 ,(주)데이타솔루션,119-86-37009,2019
A263800,데이타솔루션,12,2020,Annual,,(주)데이타솔루션,119-86-37009,2020
A263800,데이타솔루션,12,2021,Annual,,(주)데이타솔루션,119-86-37009,2021
A021050,서원,12,2017,Annual,212303072 ,(주)서원,134-81-01655,2017
A021050,서원,12,2018,Annual,220110079 ,(주)서원,134-81-01655,2018
A021050,서원,12,2019,Annual,221983443 ,(주)서원,134-81-01655,2019
A021050,서원,12,2020,Annual,,(주)서원,134-81-01655,2020
A021050,서원,12,2021,Annual,,(주)서원,134-81-01655,2021
A053690,한미글로벌,12,2017,Annual,168106149 ,(주)한미글로벌건축사사무소,220-81-33593,2017
A053690,한미글로벌,12,2018,Annual,209712007 ,(주)한미글로벌건축사사무소,220-81-33593,2018
A053690,한미글로벌,12,2019,Annual,203595486 ,(주)한미글로벌건축사사무소,220-81-33593,2019
A053690,한미글로벌,12,2020,Annual,,(주)한미글로벌건축사사무소,220-81-33593,2020
A053690,한미글로벌,12,2021,Annual,,(주)한미글로벌건축사사무소,220-81-33593,2021
A164060,이루다,12,2017,Annual,14978744 ,(주)이루다,123-86-07799,2017
A164060,이루다,12,2018,Annual,18869180 ,(주)이루다,123-86-07799,2018
A164060,이루다,12,2019,Annual,24068171 ,(주)이루다,123-86-07799,2019
A164060,이루다,12,2020,Annual,,(주)이루다,123-86-07799,2020
A164060,이루다,12,2021,Annual,,(주)이루다,123-86-07799,2021
A046940,우원개발,12,2017,Annual,189209859 ,우원개발(주),116-81-70168,2017
A046940,우원개발,12,2018,Annual,186900503 ,우원개발(주),116-81-70168,2018
A046940,우원개발,12,2019,Annual,201931965 ,우원개발(주),116-81-70168,2019
A046940,우원개발,12,2020,Annual,,우원개발(주),116-81-70168,2020
A046940,우원개발,12,2021,Annual,,우원개발(주),116-81-70168,2021
A010960,삼호개발,12,2017,Annual,256370728 ,삼호개발(주),220-81-14806,2017
A010960,삼호개발,12,2018,Annual,276893453 ,삼호개발(주),220-81-14806,2018
A010960,삼호개발,12,2019,Annual,298782147 ,삼호개발(주),220-81-14806,2019
A010960,삼호개발,12,2020,Annual,,삼호개발(주),220-81-14806,2020
A010960,삼호개발,12,2021,Annual,,삼호개발(주),220-81-14806,2021
A066900,디에이피,12,2017,Annual,229912365 ,(주)디에이피,139-81-11954,2017
A066900,디에이피,12,2018,Annual,219431626 ,(주)디에이피,139-81-11954,2018
A066900,디에이피,12,2019,Annual,225787010 ,(주)디에이피,139-81-11954,2019
A066900,디에이피,12,2020,Annual,,(주)디에이피,139-81-11954,2020
A066900,디에이피,12,2021,Annual,,(주)디에이피,139-81-11954,2021
A224060,코디엠,12,2017,Annual,60951343 ,(주)코디엠,312-81-37108,2017
A224060,코디엠,12,2018,Annual,93910822 ,(주)코디엠,312-81-37108,2018
A224060,코디엠,12,2019,Annual,117030999 ,(주)코디엠,312-81-37108,2019
A224060,코디엠,12,2020,Annual,,(주)코디엠,312-81-37108,2020
A224060,코디엠,12,2021,Annual,,(주)코디엠,312-81-37108,2021
A012600,센트럴인사이트,12,2017,Annual,63961239 ,(주)센트럴인사이트,208-81-07756,2017
A012600,센트럴인사이트,12,2018,Annual,72506901 ,(주)센트럴인사이트,208-81-07756,2018
A012600,센트럴인사이트,12,2019,Annual,50795712 ,(주)센트럴인사이트,208-81-07756,2019
A012600,센트럴인사이트,12,2020,Annual,,(주)센트럴인사이트,208-81-07756,2020
A012600,센트럴인사이트,12,2021,Annual,,(주)센트럴인사이트,208-81-07756,2021
A208140,정다운,12,2017,Annual,67378543 ,(주)정다운,107-88-31874,2017
A208140,정다운,12,2018,Annual,110631822 ,(주)정다운,107-88-31874,2018
A208140,정다운,12,2019,Annual,123003077 ,(주)정다운,107-88-31874,2019
A208140,정다운,12,2020,Annual,,(주)정다운,107-88-31874,2020
A208140,정다운,12,2021,Annual,,(주)정다운,107-88-31874,2021
A950140,잉글우드랩,12,2017,Annual,92446671 ,잉글우드랩(주),000-81-20019,2017
A950140,잉글우드랩,12,2018,Annual,104772859 ,잉글우드랩(주),000-81-20019,2018
A950140,잉글우드랩,12,2019,Annual,115343361 ,잉글우드랩(주),000-81-20019,2019
A950140,잉글우드랩,12,2020,Annual,,잉글우드랩(주),000-81-20019,2020
A950140,잉글우드랩,12,2021,Annual,,잉글우드랩(주),000-81-20019,2021
A057540,옴니시스템,12,2017,Annual,127095529 ,옴니시스템(주),130-81-51696,2017
A057540,옴니시스템,12,2018,Annual,125174741 ,옴니시스템(주),130-81-51696,2018
A057540,옴니시스템,12,2019,Annual,136588799 ,옴니시스템(주),130-81-51696,2019
A057540,옴니시스템,12,2020,Annual,,옴니시스템(주),130-81-51696,2020
A057540,옴니시스템,12,2021,Annual,,옴니시스템(주),130-81-51696,2021
A137940,넥스트아이,12,2017,Annual,138956473 ,(주)넥스트아이,124-81-57924,2017
A137940,넥스트아이,12,2018,Annual,177572044 ,(주)넥스트아이,124-81-57924,2018
A137940,넥스트아이,12,2019,Annual,174552667 ,(주)넥스트아이,124-81-57924,2019
A137940,넥스트아이,12,2020,Annual,,(주)넥스트아이,124-81-57924,2020
A137940,넥스트아이,12,2021,Annual,,(주)넥스트아이,124-81-57924,2021
A024900,덕양산업,12,2017,Annual,429003472 ,덕양산업(주),620-81-01234,2017
A024900,덕양산업,12,2018,Annual,526312201 ,덕양산업(주),620-81-01234,2018
A024900,덕양산업,12,2019,Annual,506308534 ,덕양산업(주),620-81-01234,2019
A024900,덕양산업,12,2020,Annual,,덕양산업(주),620-81-01234,2020
A024900,덕양산업,12,2021,Annual,,덕양산업(주),620-81-01234,2021
A002230,피에스텍,12,2017,Annual,160860295 ,피에스텍(주),218-81-03742,2017
A002230,피에스텍,12,2018,Annual,164245869 ,피에스텍(주),218-81-03742,2018
A002230,피에스텍,12,2019,Annual,168595348 ,피에스텍(주),218-81-03742,2019
A002230,피에스텍,12,2020,Annual,,피에스텍(주),218-81-03742,2020
A002230,피에스텍,12,2021,Annual,,피에스텍(주),218-81-03742,2021
A036710,심텍홀딩스,12,2017,Annual,754085651 ,(주)심텍홀딩스,315-81-01652,2017
A036710,심텍홀딩스,12,2018,Annual,840326061 ,(주)심텍홀딩스,315-81-01652,2018
A036710,심텍홀딩스,12,2019,Annual,865319569 ,(주)심텍홀딩스,315-81-01652,2019
A036710,심텍홀딩스,12,2020,Annual,,(주)심텍홀딩스,315-81-01652,2020
A036710,심텍홀딩스,12,2021,Annual,,(주)심텍홀딩스,315-81-01652,2021
A006140,피제이전자,12,2017,Annual,119500976 ,(주)피제이전자,130-81-47931,2017
A006140,피제이전자,12,2018,Annual,128371800 ,(주)피제이전자,130-81-47931,2018
A006140,피제이전자,12,2019,Annual,138487805 ,(주)피제이전자,130-81-47931,2019
A006140,피제이전자,12,2020,Annual,,(주)피제이전자,130-81-47931,2020
A006140,피제이전자,12,2021,Annual,,(주)피제이전자,130-81-47931,2021
A008290,원풍물산,12,2017,Annual,47000227 ,원풍물산(주),137-81-01974,2017
A008290,원풍물산,12,2018,Annual,46570934 ,원풍물산(주),137-81-01974,2018
A008290,원풍물산,12,2019,Annual,64045771 ,원풍물산(주),137-81-01974,2019
A008290,원풍물산,12,2020,Annual,,원풍물산(주),137-81-01974,2020
A008290,원풍물산,12,2021,Annual,,원풍물산(주),137-81-01974,2021
A085310,엔케이,12,2017,Annual,241293977 ,(주)엔케이,603-81-06888,2017
